Translation #,Category,Wireframe Ref,KMCO Internal Category Name,KMCO Internal Field Code,Field Name,Original KMCO US English Copy,FOX Copy Edit - US English,Australia / ME English (FX),English Description,Russian,German,Turkish,Italian,Bulgarian,Serbian,Slovenian,Japanese,Chinese (Traditional),UK / Philippines (FOX),ME Arabic,Polish,Netherlands,Spanish (ES),Brazil,South East Asia - English (FOX Movies Premium)
AT084,Social Feed Text,n/a,C/CMS,CMS,,[Name] created this portrait with AMC's The Walking Dead Yourself App. Click on the link below to get bitten and create your own portrait!,[Name] created this portrait with FOX's The Walking Dead Yourself App. Click on the link below to get bitten and create your own portrait!,[Name] created this portrait with FX's The Walking Dead Yourself App. Click on the link below to get bitten and create your own portrait!,[Name] created this portrait with FOX's The Walking Dead Yourself App. Click on the link below to get bitten and create your own portrait!,"[Name] создал свой портрет с помощью приложения FOX Зомбилук за 3 клика. Перейдите по ссылке, чтобы создать свой портрет!","[Name] hat sich mit der Walking Dead Yourself App von FOX zum Zombie gemacht. Klicke auf den Link, lass dich beissen und verwandel dich auch in einen Zombie!",[Name] FX'in The Walking Dead Kendini Zombi Yap uygulamasıyla bu profili oluşturdu. Isırılmak için aşağıdaki linke tıkla ve kendi profilini oluştur.  ,[Name] è stato contagiato dall’App di  FOX Walking Dead Yourself. Clicca per farti mordere e diventare uno ZOMBIE!!,"(име) създаде този портрет, използвайки приложението на FOX Стани един от Живите мъртви. Кликнете, за да бъдете ухапани и да създадете свой портрет.","(ime) je napravio ovaj portret pomoću Foksove aplikacije ""Okružite se mrtvima"". Klikni na donji link da napraviš i ti svoj portret! ",Nazaj,[Name]は、FOXのウォーキング・デッドのアプリでこの写真を作成した。下のリンクをクリックして、ゾンビに襲われてから自分の写真を作成しよう！,[Name] 使用STAR MOVIES的化身陰屍路app創造了這張活屍照。點選連結，你也能被咬一下，創造自己的活屍照！,[Name] created this portrait with FOX's The Walking Dead Yourself App. Click on the link below to get bitten and create your own portrait!,(الاسم) صنع هذه الصورة الشخصية باستخدام تطبيق Walking Dead Yourself الخاص بقناة AMC. انقر على الرابط بالأسفل ليتم عقرك وتصنع صورتك الشخصية الخاصة بك!,"[Name] stworzył/a to zdjęcię przy pomocy aplikacji FOX - Przerób się na The Walking Dead! Kliknij na link poniżej, by dać się ugryźć i stworzyć własne zdjęcie! ",[Name] maakte deze foto met de FOX Walking Dead Yourself-app. Klik op de link om gebeten te worden en je eigen foto te maken.,[Name] creó esta foto con la aplicación de FOX The Walking Dead Yourself App. ¡Pincha en el link para ser mordido y crear tu propio retrato!,[Name] criou esta foto com o aplicativo da FOX The Walkind Dead Youserlf. Clique no link para ser mordido e criar o seu próprio retrato!,[Name] created this portrait with FOX Movies Premium's The Walking Dead Yourself App. Click on the link below to get bitten and create your own portrait!
AT006,Canvas,6,G/Rails,G,signin_facebook,Sign in to Facebook,Sign in to Facebook,Sign in to Facebook,Sign in to Facebook,Войти в свой Facebook аккаунт,Login mit Facebook,Facebook'a giriş yap,Accedi a Facebook,Влезте във  Facebook,Prijavi se na Fejsbuk,Deli svojo fotografijo,Facebookにログイン,登入Facebook,Sign in to Facebook,سجل للدخول على فيسبوك,Zaloguj się przez Facebooka,Login via Facebook.,Entrar en Facebook,Entrar no Facebook,Sign in to Facebook
AT009,Canvas,pp 6-7,G/Rails,G,vote,Vote,Vote,Vote,Vote,Проголосовать,Abstimmen,Oyla,Vota,Гласувай,Glasaj,Uporabi kot profilno fotografijo na Facebooku,投票,投票,Vote,تصويت,Głosuj,Stem,Vota,Votar,Vote
AT010,Canvas,pp 6-7,G/Rails,G,share,Share,Share,Share,Share,Поделиться,Teilen,Paylaş,Condividi,Сподели,Podeli,Shrani v galeriji Živih mrtvecev?,シェア,分享,Share,مشاركة,Udostępnij,Deel,Comparte,Compartilhar,Share
AT011,Canvas,pp 6-7,G/Rails,G,comment,Comment,Comment,Comment,Comment,Комментировать,Kommentieren,Yorum yaz,Commenta,Коментирай,Komentar,Ne pozabi shraniti svoje nove fotografije.,コメント,留言,Comment,تعليق,"Skomentuj
",Comment,Comentar,Comentar,Comment
AT012,Canvas,pp 6-7,G/Rails,G,-,Show More,Show More,Show More,Show More,Показать еще,Mehr anzeigen,Daha fazla göster,Mostra altre,Покажи още,Prikaži više,Zapri,もっと見る,顯示更多,Show More,مشاهدة المزيد,"Pokaż więcej
",Zie meer,Mostrar más,Mostrar mais,Show More
AT013,Canvas,pp 6-7,G/Rails,G,-,Add a comment,Add a comment,Add a comment,Add a comment,Добавить комментарий,Kommentar hinzufügen,Yorum ekle,Aggiungi un commento,Добавете коментар,Dodaj komentar,Izberi fotografijo iz svoje galerije na Facebooku.,コメント追加,增加一則留言,Add a comment,إضافة تعليق,Dodaj komentarz,Reageer,Añade un comentario,Adicionar um comentário,Add a comment
AT014,Canvas,pp 6-7,G/Rails,G,-,Post on Facebook,Post on Facebook,Post on Facebook,Post on Facebook,Добавить пост в Facebook,Auf Facebook posten,Facebook'ta paylaş,Pubblica su Facebook,Качете във  Facebook,Postavi na Fejsbuk,Tvoji albumi [Photo Albums],Facebookにアップする,貼到Facebook,Post on Facebook,انشر على فيسبوك,"Opublikuj na Facebooku
",Post op Facebook,Postear en Facebook,Postar no Facebook,Post on Facebook
AT015,Canvas,pp 6-7,G/Rails,G,is same AT11... not used,Comment,Comment,Comment,Comment,Комментировать,Kommentieren,Yorum yaz,Commenta,Коментирайте,Komentar,Ime albuma,コメント,留言,Comment,تعليق,"Skomentuj
",Reageer,Comentarios,Comentários,Comment
AT016,Canvas,pp 6-7,G/Rails,G,you_and_friends,You and Your Friends' Photos,You and Your Friends' Photos,You and Your Friends' Photos,You and Your Friends' Photos,Фото тебя и твоих друзей,Fotos von dir und deinen Freunden,Senin ve Arkadaşlarının Fotoğrafları ,Foto gallery,Вашите снимки и тези на вашите приятели,Fotke tebe i tvojih prijatelja,Tvoje fotografije,あなたと友達の写真,你和你朋友的照片,You and Your Friends' Photos,صورتك وصور أصدقائك,Zdjęcie ciebie i twoich znajomych,Foto's van jou en je vrienden,Fotos tuyas y de tus amigos,Fotos suas e dos seus amigos,You and Your Friends' Photos
AT017,Canvas,pp 6-7,G/Rails,G,,Find us on Facebook,Find us on Facebook,Find us on Facebook,Find us on Facebook,Найди нас на Facebook,Finde uns auf Facebook,Facebook'ta bizi bul,Trovaci su Facebook,Открийте ни във Facebook,Pronađi nas na Fejsbuku,Prekliči,Facebookで検索,來Facebook拜訪我們,Find us on Facebook,اعثر علينا على فيسبوك,Znajdź nas na Facebooku,Vind ons op Facebook,Encuéntranos en Facebook,Encontre-nos no Facebook,Find us on Facebook
AT018,Canvas,pp 6-7,G/Rails,G,top_voted,Top Voted,Top Voted,Top Voted,Top Voted,Самые популярные,Beste,En çok oylananlar,Più votate,Най-гласувани,Najviše glasova,Izberi,投票数第１位,最高票,Top Voted,الأكثر أصواتاً,Najwyżej oceniane,Beste,Más votadas,Mais votadas,Top Voted
AT019,Canvas,pp 6-7,G/Rails,G,most_recent,Latest [Most Recent],Latest [Most Recent],Latest [Most Recent],Latest [Most Recent],Последние [Most Recent],Neueste,En son eklenenler [Most Recent],Più recenti [Most Recent],Най-нови,Najnoviji (poslednji),Pokaži več,最新[Most Recent],最新 [Most Recent],Latest [Most Recent],الأحدث,Najnowsze [Most Recent],Nieuwste [Most Recent],Últimas [Most Recent],Últimas [Most Recent],Latest [Most Recent]
AT020,Canvas,6,G/Rails,G,powered_by/poweredby,Powered by the Kmco,Powered by the Kmco,Powered by the Kmco,Powered by the Kmco,Powered by the Kmco,Powered by the Kmco,Powered by the Kmco,Powered by the Kmco,С подкрепата на Kmco,Powered by the Kmco,Za najboljši rezultat izberi fotografijo celotnega obraza.,Powered by the Kmco,Powered by the Kmco,Powered by the Kmco,مدعوم من Kmco,Powered by the Kmco,Powered by the Kmco,Powered by the Kmco,Powered by the Kmco,Powered by the Kmco
AT021,Canvas,6,G/Rails,G,terms,Terms of Service,Terms of Service,Terms of Service,Terms of Service,Условия,AGB,Hizmet Kullanım Koşulları,Termini del servizio,Условия за ползване,Uslovi korišćenja,Obreži in spremeni velikost fotografije.,利用規約,服務條款,Terms of Service,شروط الخدمة,Warunki korzystania,Gebruiksvoorwaarden,Términos y condiciones del servicio,Termos e Condições do Serviço,Terms of Service
AT022,Canvas,6,G/Rails,G,privacy,Privacy Policy,Privacy Policy,Privacy Policy,Privacy Policy,Соглашение о конфиденциальности,Datenschutz,Gizlilik Politikası,Informativa sulla privacy,Настройки за поверителност,Pravila o privatnosti,Uredi fotografijo [Alternate],個人情報保護について,隱私政策,Privacy Policy,سياسة الخصوصية,Polityka prywatności,Privacybeleid,Política de privacidad,Política de Privacidade,Privacy Policy
AT023,Canvas,6,G/Rails,G,credits,Credits,Credits,Credits,Credits,Права,Credits,Katkıda bulunanlar,Credits,Автори,Učesnici ,Okvir potegni okrog obraza in za nadaljevanje obkljukaj izbirno polje.,クレジット,製作名單,Credits,فريق العمل,Prawa,Credits,Créditos,Créditos,Credits
AT024,Canvas,6,G/Rails,G,follow_us,Follow us on,Follow us on,Follow us on,Follow us on,Добавить нас в ,Folge uns auf,Bizi [Name of Page]'da takip et,Seguici su,Следвайте ни в...,Pratite nas dalje,Izdelaj naslovno fotografijo za profil Facebook.,フォローする,跟隨我們,Follow us on,اتبعنا على,Znajdź nas na Facebooku,Volg ons op,Síguenos en,Siga-nos no,Follow us on
AT025,Canvas,7,G/Rails,G,what_no_photos,No photos of you or your friends? ,No photos of you or your friends? ,No photos of you or your friends? ,No photos of you or your friends?,Нет фотографий тебя и твоих друзей?,Keine Fotos von dir und deinen Freunden?,Kendi fotoğrafın ya da arkadaşlarının fotoğrafı yok mu?,Nessuna foto tua o dei tuoi amici?,Няма ваши снимки и снимки на приятелите ви?,Nema tvojih fotki ni fotki tvojih prijatelja?,Shranjeno v mapi [Name of Folder] na Facebooku.,あなたか友達の写真はありませんか？,沒有你或你朋友的照片嗎？,No photos of you or your friends? ,لا توجد صور لك أو لأصدقائك؟,Nie masz zdjęć siebie i swoich znajomych?,Geen foto's van jou en je vrienden?,Sin fotos tuyas o de tús amigos?,Não tem fotos suas ou dos seus amigos?,No photos of you or your friends? 
AT026,Canvas,7,G/Rails,G,menu_make_a_new,Create your own photo!,Create your own photo!,Create your own photo!,Create your own photo!,Создайте свое фото!,Erstelle ein eigenes Foto!,Kendi fotoğrafını yarat!,Crea la tua foto!,Създай своя снимка!,Napravite svoju fotku!,Klikni ze spremembo naslovne fotografije.,自分の写真を作成する,創造你自己的照片！,Create your own photo!,اصنع صورتك الخاصة!,"Przerób własne zdjęcie!
",Maak je eigen foto!,¡Crea tu foto!,Crie sua foto!,Create your own photo!
AT027,Canvas,8,G/Rails,G,download,Download,Download,Download,Download,Скачать,Herunterladen,İndir,Scarica,Изтегли,Učitaj,Prikaži shranjeno naslovno fotografijo.,ダウンロード,下載,Download,تنزيل,Ściągnij,Download,Descargar,Descarregue,Download
AT028,Canvas,8,G/Rails,G,vote,Vote,Vote,Vote,Vote,Голосовать,Abstimmen,Oyla,Vota,Гласувай,Glasaj,"Bi rad, da te ugriznejo in bi se pridružil Živim mrtvecem? Z računalnikom se prijavi na deadyourself.com in ustvari svojo fotografijo.",投票,投票,Vote,تصويت,Głosuj,Stem,Votar,Votar,Vote
AT029,Canvas,8,G/Rails,G,share,Share,Share,Share,Share,Поделиться,Teilen,Paylaş,Condividi,Сподели,Podeli,"Hočeš, da te ugriznejo in se boš tako pridružil živim mrtvecem? Prenesi aplikacijo in ustvari svojo fotografijo.",シェア,分享,Share,مشاركة,Udostępnij,Deel,Compartir,Compartilhar,Share
AT030,Canvas,8,G/Rails,G,,Tweet,Tweet,Tweet,Tweet,Твит,Twittern,Tweetle,Tweet,Туитвай,Tvituj!,Preusmerjam v aplikacijo Živi mrtveci,ツイートする,Tweet,Tweet,غرد,Zatweetuj,Tweet,Tweet,Tweetar,Tweet
AT031,Canvas,8,G/Rails,G,,Post on Facebook,Post on Facebook,Post on Facebook,Post on Facebook,Поделиться на Facebook,Auf Facebook posten,Facebook'ta paylaş,Pubblica su Facebook,Качете във Facebook,Postavi na Fejsbuk,Fotografiraj se s spletno kamero.,Facebookにアップする,貼到Facebook,Post on Facebook,انشر على فيسبوك,"Opublikuj na Facebooku
",Post op Facebook,Postear en Facebook,Postar no Facebook,Post on Facebook
AT032,Canvas,8,G/Rails,G,,Download,Download,Download,Download,Скачать,Herunterladen,İndir,Scarica,Изтегли,Učitaj,Ali,ダウンロード,下載,Download,تنزيل,Ściągnij,Download,Descargar,Descarregar,Download
AT033,Canvas,8,G/Rails,G,,Cover Photo,Cover Photo,Cover Photo,Cover Photo,Фото обложки,Coverbild,Kapak Fotoğrafı,Foto di copertina,Снимка за заглавна страница,Naslovna fotka,Oglej si vse,カバー写真,封面照片,Cover Photo,صورة الغلاف,Zdjęcie w tle,Cover foto,Foto de portada,Foto de capa,Cover Photo
AT034,Canvas,8,G/Rails,G,edit,Edit,Edit,Edit,Edit,Править,Editieren,Düzenle,Modifica,Редактирай,Uredi,Slog nalaganja,編集,編輯,Edit,تعديل,Edytuj,Edit,Editar,Editar,Edit
AT035,Canvas,8,G/Rails,G,delete,Delete,Delete,Delete,Delete,Удалить,Löschen,Sil,Cancella,Изтрий,Obriši,Označi,削除,刪除,Delete,حذف,Usuń,Verwijder,Eliminar,Deletar,Delete
AT036,Canvas,10,G/Flash,G,languagesText_Camera.xml => instructions,Align your face with the guide shown above,Align your face with the guide shown above,Align your face with the guide shown above,Align your face with the guide shown above,"Разверните свое лицо, как показано выше",Passe dein Gesicht in den Rahmen ein,Yukarıda gösterildiği gibi yüzünü ortala,Allinea il tuo viso usando le istruzioni qui sopra,"Разположете лицето си по схемата, показана по-горе",Namesti svoje lice u skladu sa gornjim uputstvom. ,--,上の表示に基づいて顔を調整する,依照上面的指示，調整你的臉,Align your face with the guide shown above,اضبط صورة وجهك وفقاً للدليل المبين أعلاه,Dopasuj zdjęcie zgodnie ze wzorem powyżej,Plaats je gezicht goed in het scherm.,Cuadra tu cara con los márgenes que aparecen,Enquadre seu rosto com as margens indicadas,Align your face with the guide shown above
AT037,Canvas,10,G/Flash,G,take_with_facebook,Upload a Facebook photo,Upload a Facebook photo,Upload a Facebook photo,Upload a Facebook photo,Загрузить фото из Facebook,Foto mit Facebook hochladen,Facebook'tan fotoğrafını yükle,Carica una foto di Facebook,Качи снимка от Facebook,Postavi sliku sa Fejsbuka,Prekliči,Facebookの写真をアップロードする,上傳一張Facebook照片,Upload a Facebook photo,إضافة صورة على فيسبوك,Załaduj zdjęcie z Facebooka,Upload een foto van Facebook.,Subir una foto a Facebook,Subir uma foto no Facebook,Upload a Facebook photo
AT038,Canvas,10,G/Flash,G,languagesText_Camera.xml => no_camera,No webcam? Upload a photo from your Facebook Photo Gallery!,No webcam? Upload a photo from your Facebook Photo Gallery!,No webcam? Upload a photo from your Facebook Photo Gallery!,No webcam? Upload a photo from your Facebook Photo Gallery!,Нет веб-камеры? Загрузите фото из галереи Facebook,Keine Webcam? Lade ein Foto aus deiner Facebook-Bildergalerie hoch.,Webcamin yok mu? Facebook Fotoğraf Galeri'nden bir fotoğraf yükle!  ,Non hai la webcam? Carica una foto dalla tua galleria fotografica Facebook!,Нямаш уебкамера? Качи снимка от фотогалерията си във Facebook,Nemaš veb kameru? Postavi neku sliku iz svoje foto-galerije na Fejsbuk. Molimo vas da pokušate ponovo!,E-pošta,ウェブカメラはありませんか？　Facebookのフォトギャラリーから写真をアップロードしよう！,沒有網路攝影機？從你的Facebook相簿上傳一張照片,No webcam? Upload a photo from your Facebook Photo Gallery!,لا توجد لديك كاميرا ويب؟ حمل صورة من معرض صورك على فيسبوك!,Nie masz kamery? Załaduj zdjęcie z Facebooka!,Geen webcam? Upload een foto vanuit Facebook!,¿No tienes webcam? ¡Sube una fotografía de tu galería de Facebook!,Não tem webcam? Suba uma fotografia de sua galeria no Facebook!,No webcam? Upload a photo from your Facebook Photo Gallery!
AT039,Canvas,11,G/Flash,G,,Preview,Preview,Preview,Preview,Превью,Vorschau,Önizleme,Anteprima,Предварителен изглед,Pregledaj unapred,Facebook,プレビュー,預覽,Preview,معاينة,Podgląd,Preview,Previsualizar,Pré-visualizar,Preview
AT040,Canvas,11,G/Flash,G,,Retake,Retake,Retake,Retake,Переснять,Nochmal,Yeniden çek,Scatta di nuovo,Повтори,Uzmi ponovo,Za najboljši rezultat upoštevaj navodila,やり直す,重新一次,Retake,التقط صورة ثانية,"Spóbuj ponownie
",Opnieuw,Repetir,Repetir,Retake
AT041,Canvas,11,G/Flash,G,,Next,Next,Next,Next,Дальше,Weiter,Bir sonraki,Avanti,Следваща,Sledeće,Za najboljši rezultat upoštevaj navodila.,次へ,下一個,Next,التالي,Dalej,Volgende,Siguiente,Seguinte,Next
AT042,Canvas,12,-,C,,-,-,-,Heading Text,-,,-,-,,,Pomoč,-,-,-, -,-,,,-,-
AT043,Canvas,13,C/Flash,C,languagesText_Editor.xml => instructions,You've joined The Walking Dead! Use the tools below to customize your photo,You've joined The Walking Dead! Use the tools below to customise your photo,You've joined The Walking Dead! Use the tools below to customize your photo,You've joined The Walking Dead! Use the tools below to customise your photo,"Вы стали Ходячим мертвецом! Используйте инструменты, чтобы изменить свое фото",Nutze die Tools um dich zu verwandeln und werde zum Zombie!,The Walking Dead'e katıldın! Fotoğrafını aşağıdaki araçları kullanarak uyarla,Sei diventato uno ZOMBIE con Walking Dead Yourself! Usa gli strumenti qui sotto per personalizzare la tua foto,"Присъединихте се към Живите мъртви! Използвайте инструментите, за да персонализирате снимката си","Sada si ""Okružen/a mrtvima""! Podesi svoju fotku pomoću ponuđenih alatki.",Zdaj delim z...,ウォーキング・デッドの仲間になった！下のツールを使って写真をカスタマイズする,你已經化身陰屍路！使用以下工具來個人化你的照片,You've joined The Walking Dead! Use the tools below to customize your photo,لقد انضممت إلى الأموات السائرون! استخدم الأدوات الموجودة أدناه لتعديل صورتك,Jesteś The Walking Dead! Użyj elementów poniżej i przerób zdjęcie. ,Je hebt je aangesloten bij The Walking Dead! Gebruik de tools om je foto aan te passen.,¡Te has unido a The Walking Dead! ,Você se uniu a The Walking Dead! Use as ferramentas abaixo para customizar sua foto,You've joined The Walking Dead! Use the tools below to customise your photo
AT044,Canvas,13,-,C,,n/a,n/a,n/a,n/a,n/a,n/a,Mevcut değil,n/a,,,Deli fotografijo,該当なし,n/a,n/a,غير متاح,brak danych,n/a,n/a,n/a,n/a
AT045,Canvas,13,-,G,languagesText_Editor.xml => unlock_title    &    unlock_text,Enter the secret code to unlock this item,Enter the secret code to unlock this item,Enter the secret code to unlock this item,Enter the secret code to unlock this item,"Введите секретный код, чтобы разблокировать","Gib den Geheimcode ein, um dieses Item freizuschalten.",Bu parçayı açabilmek için gizli kodu gir,Inserisci il codice segreto per sbloccare questo elemento,"Въведете тайния код, за да отключите този артикул",Unesi tajni kod da otključaš ovo.,Fotografiraj ali uvozi fotografijo.,このアイテムのロックを解除する秘密のコードを入力する,輸入密碼來解開這個物品的鎖,Enter the secret code to unlock this item,أدخل الرمز السري لإتاحة هذه الأداة,"Wpisz tajemny kod, by odblokować",Vul de geheime code in om dit voorwerp vrij te spelen.,Introduce el código secreto para desbloquear este item,Introduza o código secreto para desbloquear este item,Enter the secret code to unlock this item
AT046,Canvas,14,-,G,languagesText_Editor.xml/languagesText_Camera.xml => upload_message,Processing your photo…,Processing your photo…,Processing your photo…,Processing your photo...,Фото обрабатывается,Foto wird verarbeitet...,Değişiklikler fotoğrafına uygulanıyor...,Sto elaborando la tua foto …,Снимката се обработва...,Fotka se obrađuje...,Živi mrtveci,写真を作成中…,產生你的照片...,Processing your photo…,يتم تجهيز صورتك,Trwa przetwarzanie zdjęcia...,Verwerken van de foto...,Procesando tu foto...,Processando sua foto...,Processing your photo…
AT047,Canvas,14,-,G,-,Back,Back,Back,Back,Назад,Zurück,Geri,Indietro,Назад,Nazad,Twitter,戻る,返回,Back,العودة,Powrót,Terug,Volver,Voltar,Back
AT048,Canvas,16,-,G,share_your_photo,Share Your Photo,Share Your Photo,Share Your Photo,Share Your Photo,Поделиться фотографией,Teile dein Foto!,Fotoğrafını paylaş,Condividi la tua foto,Сподели снимката си,Podeli svoju fotku,"Da bi to odklenil, vnesi posebno šifro.",あなたの写真をシェアする,分享你的照片,Share Your Photo,مشاركة صورتك,Udostępnij swoje zdjęcie,Deel je foto!,Comparte tu foto,Compartilhe sua foto,Share Your Photo
AT049,Canvas,16,-,G,use_as_cover,Make this your Facebook Cover,Make this your Facebook Cover,Make this your Facebook Cover,Make this your Facebook Cover,Сделать это фото обложкой в Facebook,Foto als Coverbild verwenden,Bunu Facebook Kapak fotoğrafın yap,Usa questa foto come immagine Facebook di copertina,Направи това своя заглавна страница във Facebook,Postavi kao sliku na svom profilu na Fejsbuku,Tu vnesi opis fotografije.,これをFacebookのカバー写真にする,把這張照片用做你的封面照片,Make this your Facebook Cover,استخدم هذه الصورة كصورة غلاف صفحتك على فيسبوك,Ustaw jako zdjęcie w tle na Facebooku,Maak van deze foto je Facebook cover.,Establecer como foto de perfil de Facebook,Tornar esta imagem sua foto de perfil do Facebook,Make this your Facebook Cover
AT050,Canvas,16,-,C,save_to_page,Save this to the Dead Yourself Walker Gallery?,Save this to the Dead Yourself Walker Gallery?,Save this to the Dead Yourself Walker Gallery?,Save this to the Dead Yourself Walker Gallery?,Сохранить фото в галерее Зомбилук за 3 клика?,In Beisser-Galerie speichern,Bunu Kendini Zombi Yap Galerisi'nde sakla?,Salva foto,Да запазя ли снимката в галерията на Стани един от Живите мъртви?,Sačuvaj u Galeriji zombija?,Prekliči,ウォーキング・デッドのギャラリーにセーブしますか？,把這張照片存到化身陰屍路照片集？,Save this to the Dead Yourself Walker Gallery?,حفظ الصورة في معرض صور Dead Yourself Walker؟,Zapisać w galerii?,Opslaan in je Dead Yourself-galerij?,"¿Guardar en la galería de The Walking Dead Yourself?
",Salvar na galeria de The Walking Dead Yourself?,Save this to the Dead Yourself Walker Gallery?
AT051,Canvas,16,-,G,,Don't forget to save your new photo,Don't forget to save your new photo,Don't forget to save your new photo,Don't forget to save your new photo,Не забудьте сохранить ваше фото,"Vergiss nicht, dein neues Bild zu speichern.",Yeni fotoğrafını kaydetmeyi unutma,Non dimenticare di salvare la tua nuova foto,Не забравяй да запазиш новата си снимка,Ne zaboravi da sačuvaš svoju novu fotku.,Prekliči,新しい写真のセーブをお忘れなく！,不要忘記存檔你的新照片,Don't forget to save your new photo,لا تنس حفظ صورتك الجديدة,Zapisz swoje zdjęcie,Vergeet niet je nieuwe foto op te slaan,No te olvides de guardar tu nueva foto,Não se esqueça de salvar sua nova foto,Don't forget to save your new photo
AT052,Canvas,16,-,G,,Close,Close,Close,Close,Закрыть,Schließen,Kapat,Chiudi,Затваряне,Zatvori,Opravljeno,閉じる,關閉,Close,إغلاق,Zamknij,Sluiten,Cerrar,Fechar,Close
AT053,Canvas,18,-,G,,Choose a Photo from Your Facebook Photo Library,Choose a Photo from Your Facebook Photo Library,Choose a Photo from Your Facebook Photo Library,Choose a Photo from Your Facebook Photo Library,Выбрать фото из галереи Facebook,Wähle ein Foto aus deiner Facebook Bildergalerie aus.,Facebook Fotoğraf Arşivi'nden Bir Fotoğraf Seç,Scegli una foto dalla tua libreria Facebook,Избери снимка от фотогалерията си във Facebook,Izaberi fotku iz svoje galerije na Fejsbuku,Prijavi se v Facebook,Facebookのフォトライブラリーから写真を選択する,從你的Facebook相簿選一張照片,Choose a Photo from Your Facebook Photo Library,اختر صورة من مكتبة صورك على فيسبوك,Wybierz zdjęcie ze swojej galerii na Facebooku,Kies een foto van je Facebook Foto Overzicht,Elige una foto de tu biblioteca de fotos de Facebook,Escolher uma imagem de sua biblioteca de fotos do Facebook,Choose a Photo from Your Facebook Photo Library
AT054,Canvas,18,-,G,your_albums,Your Albums [Photo Albums],Your Albums [Photo Albums],Your Albums [Photo Albums],Your Albums [Photo Albums],Ваши альбомы [Photo Albums],Deine Alben [Photo Albums],Albümlerin  [Photo Albums],I tuoi album [Photo Albums],Моите албуми,Tvoji albumi (foto-albumi),Odkleni,あなたのアルバム[Photo Albums],你的相簿 [Photo Albums],Your Albums [Photo Albums],ألبومات صورك (ألبومات الصور),Twoje albumy [Photo Albums],Jouw albums [Photo Albums],Tus álbumes [Photo Albums],Seus álbuns [Photo Albums],Your Albums [Photo Albums]
AT055,Canvas,18,-,G,,Album Name,Album Name,Album Name,Album Name,Название альбома,Albumname,Albüm Adı,Titolo dell’album,Име на албума,Ime albuma,"Uredi oči, usta, ozadje in filter.",アルバム名,相簿名稱,Album Name,اسم الألبوم,Nazwa albumu,Album naam,Nombre del álbum,Nome do álbum,Album Name
AT056,Canvas,18,-,G,,Photos of You,Photos of You,Photos of You,Photos of You,Ваши фото,Deine Fotos,Fotoğrafların,Le tue foto,Твои снимки,Tvoje fotke,1 oseba,あなたの写真,你的照片,Photos of You,صورك,Twoje zdjęcia,Jouw foto's,Fotos tuyas,Fotos suas,Photos of You
AT057,Canvas,18,-,G,,Cancel,Cancel,Cancel,Cancel,Удалить,Abbrechen,Vazgeç,Annulla,Откажи,Otkaži,O nas,キャンセル,取消,Cancel,إلغاء,Anuluj,Cancel,Cancelar,Cancelar,Cancel
AT058,Canvas,18,-,G,,Select [Choose],Select [Choose],Select [Choose],Select [Choose],Выбрать [Choose] ,Auswählen [Choose],Seç [Choose],Seleziona [Choose],Избери,Izaberi ,Dodaj opis,選択jする[Choose],選擇 [Choose],Select [Choose],تحديد (اختيار),Wybierz [Choose],Select [Choose],Seleccione [Choose],Selecionar [Choose],Select [Choose]
AT059,Canvas,18,-,G,,Show More,Show More,Show More,Show More,Показать еще,Mehr anzeigen,Daha Fazla Göster,Mostra altre,Покажи още,Prikaži više,Novi naslov,もっと見る,"顯示更多
",Show More,إظهار المزيد,"Pokaż więcej
",Laat meer zien,Mostrar más,Mostrar mais,Show More
AT060,Canvas,18,-,G,pick_photo,Pick a photo with a full view of your face for best results,Pick a photo with a full view of your face for best results,Pick a photo with a full view of your face for best results,Pick a photo with a full view of your face for best results,"Для лучшего результата выберите фото, на котором хорошо видно ваше лицо","Wähle ein Foto aus, auf dem du groß zu sehen bist.",En iyi sonuç için yüzünün net gözüktüğü bir fotoğraf seç,Per il miglior risultato scegli una foto in cui si vede tutto il tuo viso,"Избери снимка, на която лицето ти се вижда ясно, за по-добър резултат",Izaberi sliku na kojoj se vidi celo lice da bi rezultat bio bolji,Dodaj e-poštni naslov,あなたの顔がよくわかる正面の写真を選ぼう,選擇一張有你全臉的照片以達到最佳效果,Pick a photo with a full view of your face for best results,اختر صورة يظهر فيها وجهك كاملاً للحصول على أفضل نتيجة,"Wybierz zdjęcie, na którym widać całą twarz",Kies een foto waar je hele gezicht opstaat voor het beste resultaat.,Elige una foto con una vista completa de tu cara para obtener mejores resultados,Escolha uma foto com seu rosto inteiro aparecendo para obter melhores resultados,Pick a photo with a full view of your face for best results
AT061,Canvas,20,-,G,crop_around_face,Crop and Scale Your Photo,Crop and Scale Your Photo,Crop and Scale Your Photo,Crop and Scale Your Photo,Обрезать и изменить фото,Skaliere und schneide dein Foto zu.,Fotoğrafını Kırp ve Ölçekle,Ritaglia e ridimensiona la tua foto,Отрежи и промени размерите на снимката,Skrati fotku i podesi format ,To fotografijo si že označil.,写真を編集する,裁剪並調整你的照片,Crop and Scale Your Photo,قص وتغيير حجم صورتك,Przytnij i dopasuj swoje zdjęcie ,Pas je foto aan,Recortar y escalar tu fotos,Recortar sua foto e colocar em escala,Crop and Scale Your Photo
